"SHIPPING_ID","POST_CODE","CARRIER"
"SH11077","FY7 7DJ","Royal Mail"
"SH11078","CW2 5BT","UPS"
"SH11079","G46 8BE","Royal Mail"
"SH11080","N12 9PG","Royal Mail"
"SH11081","TQ1 3SX","Royal Mail"
"SH11082","TF9 4AH","FedEx"
"SH11083","BL9 9JR","DHL"
"SH11084","M23 0JG","UPS"
"SH11085","SG12 9PA","Royal Mail"
"SH11086","E15 1GJ","DHL"
"SH11087","IP31 1BS","FedEx"
"SH11088","AB11 6DH","Royal Mail"
"SH11089","TW20 0NF","Evri"
"SH11090","NE39 2PR","DHL"
"SH11091","LS29 6PN","DHL"
"SH11092","RH8 0AJ","Evri"
"SH11093","CF63 4JX","UPS"
"SH11094","HU9 3AP","DHL"
"SH11095","GL51 7SE","UPS"
"SH11096","ML1 5BY","UPS"
"SH11097","N9 9AQ","Royal Mail"
"SH11098","CH7 1DG","Royal Mail"
"SH11099","SO19 7GQ","Evri"
"SH11100","L14 7QB","Royal Mail"
"SH11101","HD9 6JY","DHL"
"SH11102","CH45 5BG","Royal Mail"
"SH11103","EX32 0PR","Royal Mail"
"SH11104","CV37 9SN","Royal Mail"
"SH11105","NG22 9SB","DHL"
"SH11106","CF45 3PF","Evri"
"SH11107","HP14 4PD","UPS"
"SH11108","AL4 0GU","FedEx"
"SH11109","CB6 2DQ","Royal Mail"
"SH11110","RM3 0JL","UPS"
"SH11111","DE14 1RY","FedEx"
"SH11112","LE4 6RX","DHL"
"SH11113","TW15 1UN","DHL"
"SH11114","NN4 9RB","FedEx"
"SH11115","DH8 0DG","Evri"
"SH11116","WF7 7BT","UPS"
"SH11117","KY8 2EY","DHL"
"SH11118","G73 3AA","Evri"
"SH11119","BS21 6XT","FedEx"
"SH11120","GU17 9FZ","Royal Mail"
"SH11121","SR6 7LE","FedEx"
"SH11122","TQ13 8BZ","Royal Mail"
"SH11123","PE1 5UN","Royal Mail"
"SH11124","FK3 0LY","Evri"
"SH11125","E11 1HZ","DHL"
"SH11126","WD4 9AU","Evri"
"SH11127","HP5 2TX","UPS"
"SH11128","B47 5BT","FedEx"
"SH11129","L11 1BN","FedEx"
"SH11130","NE47 9UL","Royal Mail"
"SH11131","BD8 0EX","Royal Mail"
"SH11132","GU2 7QH","Royal Mail"
"SH11133","SN4 7RE","Royal Mail"
"SH11134","E14 2EA","Royal Mail"
"SH11135","IP2 0LJ","Evri"
"SH11136","G20 0DH","DHL"
"SH11137","WR15 8EH","Evri"
"SH11138","SK7 4LF","Evri"
"SH11139","BS7 0XH","Evri"
"SH11140","YO22 4TH","Evri"
"SH11141","EH19 2LS","Royal Mail"
"SH11142","BL0 9AG","FedEx"
"SH11143","PL12 4TB","Royal Mail"
"SH11144","S7 2LX","UPS"
"SH11145","IP26 4HL","FedEx"
"SH11146","LL65 2LF","Evri"
"SH11147","KA25 7DQ","DHL"
"SH11148","SK15 2LE","UPS"
"SH11149","MK17 8EA","DHL"
"SH11150","B45 8JN","Evri"
"SH11151","DN16 2TJ","UPS"
"SH11152","DL8 3DG","FedEx"
"SH11153","TW17 8HD","Evri"
"SH11154","B16 8PX","Evri"
"SH11155","SO52 9NA","DHL"
"SH11156","YO62 5AW","Royal Mail"
"SH11157","PE30 5JN","UPS"
"SH11158","EH26 8DE","FedEx"
"SH11159","HX6 4QQ","DHL"
"SH11160","DL13 2AG","Evri"
"SH11161","YO18 8EH","DHL"
"SH11162","SO16 4DS","Royal Mail"
"SH11163","EH6 6ND","FedEx"
"SH11164","LS17 7FD","Royal Mail"
"SH11165","CH44 2AB","DHL"
"SH11166","LA2 7DL","DHL"
"SH11167","OL16 2YJ","Evri"
"SH11168","SO16 9JX","FedEx"
"SH11169","SO16 6DL","Royal Mail"
"SH11170","SY13 1SH","FedEx"
"SH11171","EH17 8UJ","FedEx"
"SH11172","S20 6RJ","FedEx"
"SH11173","PL5 4AH","Royal Mail"
"SH11174","DE11 9RJ","FedEx"
"SH11175","M18 7BF","Royal Mail"
"SH11176","NW11 8RE","FedEx"
"SH11177","LE12 6YU","DHL"
"SH11178","WV99 1NJ","UPS"
"SH11179","TQ9 5QL","UPS"
"SH11180","LS18 4DP","Royal Mail"
"SH11181","EC2A 4QE","Royal Mail"
"SH11182","CR5 3FN","Royal Mail"
"SH11183","SN12 8PL","FedEx"
"SH11184","BL3 3GQ","Royal Mail"
"SH11185","CF23 6EY","Evri"
"SH11186","SL9 8RR","DHL"
"SH11187","RH20 3GJ","Royal Mail"
"SH11188","LL20 7PA","Royal Mail"
"SH11189","RH1 3AR","DHL"
"SH11190","LS22 4DT","Royal Mail"
"SH11191","PL6 5NE","UPS"
"SH11192","M26 3LR","FedEx"
"SH11193","DL3 6BE","Royal Mail"
"SH11194","SA11 2AT","Evri"
"SH11195","W14 0NH","FedEx"
"SH11196","TA4 3LH","Evri"
"SH11197","EH42 1NF","Evri"
"SH11198","AB31 4JB","FedEx"
"SH11199","DE55 4RD","Evri"
"SH11200","CF62 7TL","DHL"
"SH11201","SO15 1ZR","DHL"
"SH11202","DA17 5QD","Royal Mail"
"SH11203","KY1 2PU","Evri"
"SH11204","LA14 2AP","UPS"
"SH11205","CM23 5QH","UPS"
"SH11206","PL20 7PB","UPS"
"SH11207","PR4 0LL","FedEx"
"SH11208","DA6 8NS","UPS"
"SH11209","HP11 2TG","Evri"
"SH11210","CH62 9DN","FedEx"
"SH11211","KA1 2LG","DHL"
"SH11212","G71 8SA","DHL"
"SH11213","LS8 3PS","DHL"
"SH11214","SG12 0TX","DHL"
"SH11215","PR5 5YU","Royal Mail"
"SH11216","CT15 6HJ","UPS"
"SH11217","BS27 3SH","FedEx"
"SH11218","L12 7HY","FedEx"
"SH11219","CV6 3HB","Evri"
"SH11220","BT44 8EQ","Evri"
"SH11221","ME2 4XH","UPS"
"SH11222","KW15 1PL","Royal Mail"
"SH11223","M20 2TT","DHL"
"SH11224","G66 5DN","FedEx"
"SH11225","BT23 5XE","UPS"
"SH11226","WF2 9HJ","Evri"
"SH11227","KA15 2EL","UPS"
"SH11228","DA17 5ER","Evri"
"SH11229","NW1 8HS","DHL"
"SH11230","KY5 9BG","Royal Mail"
"SH11231","RM3 0BP","FedEx"
"SH11232","RG30 2BD","UPS"
"SH11233","SO41 0GX","DHL"
"SH11234","EX20 2JT","FedEx"
"SH11235","CF10 3UB","FedEx"
"SH11236","NW3 4NS","DHL"
"SH11237","NR5 9BT","FedEx"
"SH11238","NR34 9AZ","UPS"
"SH11239","G12 9UZ","Royal Mail"
"SH11240","E11 4HH","UPS"
"SH11241","S1 4PH","FedEx"
"SH11242","DE15 0HB","UPS"
"SH11243","G52 1LN","FedEx"
"SH11244","LL41 3EQ","Evri"
"SH11245","CH63 2PA","FedEx"
"SH11246","DE4 5GG","UPS"
"SH11247","S26 5PD","Royal Mail"
"SH11248","WS7 4YJ","FedEx"
"SH11249","CM17 0LQ","Royal Mail"
"SH11250","SN8 2NJ","Royal Mail"
"SH11251","FK1 1PR","FedEx"
"SH11252","AB42 5AU","Evri"
"SH11253","BD8 0LG","FedEx"
"SH11254","GU25 4AY","FedEx"
"SH11255","MK18 3RX","FedEx"
"SH11256","SL6 2BH","Evri"
"SH11257","DN6 9EW","FedEx"
"SH11258","YO25 4QE","Evri"
"SH11259","HA8 0HL","Royal Mail"
"SH11260","CH64 0TS","DHL"
"SH11261","WS12 2SH","Evri"
"SH11262","SE10 9NU","FedEx"
"SH11263","BD10 8SE","Evri"
"SH11264","DH8 0RR","DHL"
"SH11265","PE30 9FR","Evri"
"SH11266","GU7 1YB","UPS"
"SH11267","M23 0QT","Evri"
"SH11268","DE7 6EB","DHL"
"SH11269","S6 1RW","FedEx"
"SH11270","ST17 9EW","Royal Mail"
"SH11271","BB11 1LE","FedEx"
"SH11272","NR19 9TL","Evri"
"SH11273","NE34 8TF","DHL"
"SH11274","B14 4HN","Royal Mail"
"SH11275","B62 0AY","Evri"
"SH11276","WS4 2DZ","FedEx"
"SH11277","CA7 3BQ","FedEx"
"SH11278","LS19 7NB","Royal Mail"
"SH11279","WA4 6DD","Royal Mail"
"SH11280","HU7 6DL","UPS"
"SH11281","TS11 7HH","FedEx"
"SH11282","KY2 6QF","UPS"
"SH11283","OX25 3QR","Evri"
"SH11284","WS13 8HA","Evri"
"SH11285","B92 8DB","Evri"
"SH11286","B97 6TE","FedEx"
"SH11287","DN35 7JJ","FedEx"
"SH11288","PH8 0BU","Evri"
"SH11289","SG14 1LY","UPS"
"SH11290","L37 8BL","DHL"
"SH11291","DG9 7JZ","UPS"
"SH11292","CB6 3FX","UPS"
"SH11293","BB1 8NX","UPS"
"SH11294","IM2 5BA","DHL"
"SH11295","CF5 2YX","Evri"
"SH11296","TR2 5RL","Evri"
"SH11297","SN13 9RR","UPS"
"SH11298","JE4 8UD","UPS"
"SH11299","TS14 6PA","FedEx"
"SH11300","B7 5JA","Evri"
"SH11301","WF10 3BJ","FedEx"
"SH11302","SP2 7AT","Royal Mail"
"SH11303","TA19 0LT","Royal Mail"
"SH11304","DA1 4PL","UPS"
"SH11305","HA8 8NF","Evri"
"SH11306","DD1 1HF","DHL"
"SH11307","L36 2PZ","UPS"
"SH11308","S74 9NR","Royal Mail"
"SH11309","DL14 8HQ","DHL"
"SH11310","DE22 5JH","Royal Mail"
"SH11311","HU8 9LN","Evri"
"SH11312","G21 4LD","DHL"
"SH11313","NR13 5NW","UPS"
"SH11314","W7 1NL","Royal Mail"
"SH11315","PA16 7RU","FedEx"
"SH11316","CV12 9NB","UPS"
"SH11317","CW9 5QQ","FedEx"
"SH11318","PR25 4XL","DHL"
"SH11319","TN29 9HY","Royal Mail"
"SH11320","CH4 8AA","DHL"
"SH11321","TN16 3DT","FedEx"
"SH11322","RH10 1TG","Royal Mail"
"SH11323","RH20 3NG","FedEx"
"SH11324","BT92 4BZ","Evri"
"SH11325","PL2 2BY","UPS"
"SH11326","GL4 8HF","FedEx"
"SH11327","RM11 1GL","Royal Mail"
"SH11328","OL12 7JF","DHL"
"SH11329","B60 2JL","UPS"
"SH11330","IV1 3AE","FedEx"
"SH11331","PE29 2HX","UPS"
"SH11332","GU16 6LP","Evri"
"SH11333","NP18 3NY","UPS"
"SH11334","BN15 9SA","UPS"
"SH11335","KA19 8DY","FedEx"
"SH11336","NP44 5HE","FedEx"
"SH11337","DE74 2FB","DHL"
"SH11338","FY4 4DY","UPS"
"SH11339","BT41 4LN","UPS"
"SH11340","PL11 3EU","FedEx"
"SH11341","WF10 4LT","FedEx"
"SH11342","PR8 4BA","Evri"
"SH11343","AL5 2NG","DHL"
"SH11344","EH10 5JL","UPS"
"SH11345","SW9 9HX","Royal Mail"
"SH11346","TA12 6BG","Royal Mail"
"SH11347","TQ7 2EY","FedEx"
"SH11348","CB1 0LU","Royal Mail"
"SH11349","ME2 3SN","FedEx"
"SH11350","G51 2YJ","Evri"
"SH11351","BT41 9EL","Evri"
"SH11352","CW12 2HL","UPS"
"SH11353","HD4 6XB","FedEx"
"SH11354","HA9 9LN","FedEx"
"SH11355","G3 7ES","FedEx"
"SH11356","CV4 9HU","FedEx"
"SH11357","EX7 0AL","Evri"
"SH11358","CW2 8HG","FedEx"
"SH11359","CF5 5HU","UPS"
"SH11360","RG2 7UQ","UPS"
"SH11361","DT6 3JX","Evri"
"SH11362","WD19 6XL","Evri"
"SH11363","SN15 3RS","Evri"
"SH11364","W5 2DJ","Royal Mail"
"SH11365","CO15 2BQ","UPS"
"SH11366","TQ1 3QP","DHL"
"SH11367","M4 4EE","UPS"
"SH11368","SK22 1DH","Royal Mail"
"SH11369","SY1 3DQ","Royal Mail"
"SH11370","NN13 6QU","FedEx"
"SH11371","CR8 5BS","Evri"
"SH11372","MK4 3FH","Evri"
"SH11373","WV15 6LU","FedEx"
"SH11374","BD3 8QH","Royal Mail"
"SH11375","L36 8DB","UPS"
"SH11376","SS0 8DB","UPS"
"SH11377","KY2 6HW","DHL"
"SH11378","EN5 5LT","UPS"
"SH11379","E4 9JJ","DHL"
"SH11380","NP20 5LY","UPS"
"SH11381","LS13 4UB","DHL"
"SH11382","IG11 8PU","Evri"
"SH11383","B13 8BH","DHL"
"SH11384","SE3 9TG","Evri"
"SH11385","TQ14 9UJ","UPS"
"SH11386","B29 7TD","DHL"
"SH11387","EH9 1AZ","UPS"
"SH11388","SW3 3PF","DHL"
"SH11389","LD1 5DD","UPS"
"SH11390","CV8 3GJ","UPS"
"SH11391","EH7 4AF","DHL"
"SH11392","DE56 0PT","Evri"
"SH11393","HS1 2HP","Royal Mail"
"SH11394","EX2 8TE","DHL"
"SH11395","CT21 5DW","Royal Mail"
"SH11396","EX14 1NN","Evri"
"SH11397","CM2 6XN","DHL"
"SH11398","NN7 3BS","UPS"
"SH11399","S81 0BA","Evri"
"SH11400","TW1 1EN","Evri"
"SH11401","EX8 2HE","Royal Mail"
"SH11402","SL6 9JU","FedEx"
"SH11403","ST18 0RQ","UPS"
"SH11404","SG12 8LL","DHL"
"SH11405","FK2 8BJ","Evri"
"SH11406","SY21 8ND","FedEx"
"SH11407","EN6 5PD","UPS"
"SH11408","LA12 9RQ","FedEx"
"SH11409","CH42 3QA","DHL"
"SH11410","HA8 0NW","Royal Mail"
"SH11411","CM0 8DW","Evri"
"SH11412","MK6 2JY","DHL"
"SH11413","TS19 8AD","FedEx"
"SH11414","WA15 8QR","UPS"
"SH11415","SG1 3ES","Evri"
"SH11416","UB6 9PH","UPS"
"SH11417","SE15 6DH","Evri"
"SH11418","E16 2PF","Royal Mail"
"SH11419","OX1 3LD","UPS"
"SH11420","PR4 1PJ","Royal Mail"
"SH11421","WV6 8HS","FedEx"
"SH11422","SO23 8AT","UPS"
"SH11423","RG24 8NU","UPS"
"SH11424","HA9 0TE","Royal Mail"
"SH11425","B27 6QU","FedEx"
"SH11426","ZE1 0FD","FedEx"
"SH11427","SE14 6TY","UPS"
"SH11428","CT5 1LG","UPS"
"SH11429","LN6 0FP","DHL"
"SH11430","BN7 2FQ","UPS"
"SH11431","SO51 0LJ","FedEx"
"SH11432","HA4 8QH","UPS"
"SH11433","PE6 8SQ","Royal Mail"
"SH11434","HD1 3UF","Royal Mail"
"SH11435","G82 4AU","UPS"
"SH11436","CT20 1AA","DHL"
"SH11437","SG6 4JW","FedEx"
"SH11438","WV10 7DT","UPS"
"SH11439","E20 1DJ","Evri"
"SH11440","SO31 7LD","DHL"
"SH11441","PH11 8BU","DHL"
"SH11442","CB24 9RH","UPS"
"SH11443","BS20 6QT","UPS"
"SH11444","EX36 4RQ","Royal Mail"
"SH11445","NG9 8LG","Evri"
"SH11446","DE23 8NE","Royal Mail"
"SH11447","ME4 6PE","UPS"
"SH11448","BD23 1TG","FedEx"
"SH11449","ML8 5FE","FedEx"
"SH11450","DN14 9RS","FedEx"
"SH11451","EH13 9QJ","DHL"
"SH11452","RH14 9AN","Royal Mail"
"SH11453","EX6 7YQ","Evri"
"SH11454","MK17 8XY","Evri"
"SH11455","BD2 2HE","DHL"
"SH11456","SY11 2AW","FedEx"
"SH11457","SE4 1AU","DHL"
"SH11458","NN3 9NT","DHL"
"SH11459","BN25 4EY","Royal Mail"
"SH11460","NE34 7PR","DHL"
"SH11461","TN40 1EN","Royal Mail"
"SH11462","NE2 4NH","Evri"
"SH11463","S40 4DW","FedEx"
"SH11464","LD1 6YD","FedEx"
"SH11465","IP19 9AU","UPS"
"SH11466","LU3 1XJ","Royal Mail"
"SH11467","B63 4QW","FedEx"
"SH11468","SP4 7SQ","Evri"
"SH11469","FK4 2DG","UPS"
"SH11470","E11 1SY","FedEx"
"SH11471","S60 4LR","DHL"
"SH11472","M26 2PE","FedEx"
"SH11473","W1H 4QH","FedEx"
"SH11474","FK10 3RL","FedEx"
"SH11475","S5 0EA","Royal Mail"
"SH11476","CT3 1JY","FedEx"
"SH11477","PE28 4QL","UPS"
"SH11478","NR13 6RY","UPS"
"SH11479","NG34 8QW","Royal Mail"
"SH11480","NG9 6AS","FedEx"
"SH11481","CT11 0BW","DHL"
"SH11482","AB21 0TZ","Evri"
"SH11483","RG10 9TW","Evri"
"SH11484","NR2 1PT","UPS"
"SH11485","PE19 7SH","Royal Mail"
"SH11486","RH3 7DJ","Evri"
"SH11487","CR0 3NW","UPS"
"SH11488","ST3 5EB","FedEx"
"SH11489","G20 6SD","Royal Mail"
"SH11490","DY6 8DE","Evri"
"SH11491","CF23 6BT","Evri"
"SH11492","HX3 7FA","FedEx"
"SH11493","EH47 9DW","Royal Mail"
"SH11494","NG17 1HU","DHL"
"SH11495","BN27 4RB","DHL"
"SH11496","M5 3GB","Evri"
"SH11497","IV2 4HA","Evri"
"SH11498","IP22 4FA","DHL"
"SH11499","SR8 1FA","Royal Mail"
"SH11500","GL51 6GS","DHL"
"SH11501","NR33 0JQ","UPS"
"SH11502","GU34 5RF","DHL"
"SH11503","M6 6QD","UPS"
"SH11504","BH6 3BS","FedEx"
"SH11505","DD9 7XH","Evri"
"SH11506","NG12 4GF","Evri"
"SH11507","TA24 6GB","FedEx"
"SH11508","LD1 5EU","Evri"
"SH11509","PE19 2SP","Evri"
"SH11510","SY16 2QE","Royal Mail"
"SH11511","DA7 5BL","UPS"
"SH11512","NR23 1HJ","FedEx"
"SH11513","SE26 6EQ","UPS"
"SH11514","S73 8TL","Royal Mail"
"SH11515","NE4 6UU","Evri"
"SH11516","E8 3EL","Royal Mail"
"SH11517","BH22 9BU","UPS"
"SH11518","CF71 7UG","FedEx"
"SH11519","SG17 5EW","UPS"
"SH11520","PH33 6DN","UPS"
"SH11521","DT1 3BT","FedEx"
"SH11522","NG23 7SB","DHL"
"SH11523","E14 3NF","DHL"
"SH11524","SE5 9JS","FedEx"
"SH11525","BH31 7DB","Evri"
"SH11526","SO31 6UA","UPS"
"SH11527","GL54 1FY","Evri"
"SH11528","LL68 9SW","Evri"
"SH11529","NG3 3NH","Evri"
"SH11530","WF12 7LH","FedEx"
"SH11531","WA1 4LT","FedEx"
"SH11532","W14 0RY","UPS"
"SH11533","DN17 1UF","Royal Mail"
"SH11534","ML11 9UW","Evri"
"SH11535","G20 6AL","UPS"
"SH11536","IV9 8RS","Royal Mail"
"SH11537","SE2 9SQ","DHL"
"SH11538","G65 0EH","FedEx"
"SH11539","KY1 1UQ","DHL"
"SH11540","G22 7JW","Evri"
"SH11541","CA10 1AP","Evri"
"SH11542","HP20 2BJ","Royal Mail"
"SH11543","CM7 3AF","DHL"
"SH11544","DN14 7TN","DHL"
"SH11545","ME17 3UB","Evri"
"SH11546","WV15 5AL","FedEx"
"SH11547","BL4 0AF","Royal Mail"
"SH11548","BL3 6TA","DHL"
"SH11549","NP16 6NZ","FedEx"
"SH11550","CT1 2LE","UPS"
"SH11551","WV1 2ET","Evri"
"SH11552","RG8 0UY","DHL"
"SH11553","BT5 4TF","DHL"
"SH11554","B15 2GB","Evri"
"SH11555","EC2A 4QU","Royal Mail"
"SH11556","RG4 8SX","Royal Mail"
"SH11557","WV99 2DW","Evri"
"SH11558","N20 0NL","Evri"
"SH11559","CH41 4HX","Royal Mail"
"SH11560","BH12 1AR","FedEx"
"SH11561","B37 6RU","DHL"
"SH11562","S61 4NT","DHL"
"SH11563","WA8 7QH","DHL"
"SH11564","DN17 1UD","FedEx"
"SH11565","SK17 9XD","UPS"
"SH11566","KA8 0PG","Evri"
"SH11567","YO42 2PZ","DHL"
"SH11568","M34 2LL","FedEx"
"SH11569","IV6 7RF","FedEx"
"SH11570","YO12 7AS","DHL"
"SH11571","TW5 0AU","Evri"
"SH11572","CF63 1DP","DHL"
"SH11573","SY25 6UH","Royal Mail"
"SH11574","BL9 7TU","Royal Mail"
"SH11575","HG4 3NT","UPS"
"SH11576","WN2 4UQ","FedEx"
"SH11577","CF72 9DU","FedEx"
"SH11578","WN3 4UN","Evri"
"SH11579","WN2 2HG","FedEx"
"SH11580","DA10 0JT","FedEx"
"SH11581","IV6 7SW","FedEx"
"SH11582","NP25 3NY","Evri"
"SH11583","FK9 4HF","DHL"
"SH11584","NN6 8FD","FedEx"
"SH11585","AL1 4XU","DHL"
"SH11586","EH25 9SQ","UPS"
"SH11587","BT60 2RG","UPS"
"SH11588","CM11 2YU","DHL"
"SH11589","B90 2JZ","UPS"
"SH11590","EN5 2AP","Evri"
"SH11591","CT1 3ND","Evri"
"SH11592","ME9 7RA","DHL"
"SH11593","WA7 4XT","UPS"
"SH11594","W1G 9QY","Royal Mail"
"SH11595","IV26 2TS","DHL"
"SH11596","IM4 1AT","FedEx"
"SH11597","DN3 2BZ","UPS"
"SH11598","PE3 9ES","Evri"
"SH11599","SS5 4RD","FedEx"
"SH11600","PO8 9QR","UPS"
"SH11601","RG6 1PH","UPS"
"SH11602","SK13 6EZ","Royal Mail"
"SH11603","ST6 5BP","FedEx"
"SH11604","TW5 0AN","DHL"
"SH11605","WS1 2HN","UPS"
"SH11606","DT9 4SE","UPS"
"SH11607","AB15 8TY","DHL"
"SH11608","PA77 6XJ","Evri"
"SH11609","PH1 2QU","Royal Mail"
"SH11610","DY5 2LQ","DHL"
"SH11611","CF46 5AY","FedEx"
"SH11612","EH54 6LF","FedEx"
"SH11613","SE16 3LX","DHL"
"SH11614","CV12 9PB","FedEx"
"SH11615","NR29 4AB","Evri"
"SH11616","GY1 3ZD","DHL"
"SH11617","SA11 2NY","Evri"
"SH11618","IP27 0SR","FedEx"
"SH11619","DN14 5RS","FedEx"
"SH11620","IG9 5NZ","FedEx"
"SH11621","DG2 0SY","DHL"
"SH11622","DN21 1LU","Royal Mail"
"SH11623","RH10 3BS","Royal Mail"
"SH11624","CF10 3DB","FedEx"
"SH11625","KA12 9NG","FedEx"
"SH11626","LU1 4HL","Evri"
"SH11627","S42 5YA","Royal Mail"
"SH11628","BS15 9UG","UPS"
"SH11629","SO41 0GU","Royal Mail"
"SH11630","TS16 0HZ","Evri"
"SH11631","DN3 3BT","FedEx"
"SH11632","NW8 7JD","UPS"
"SH11633","AB53 8HN","Royal Mail"
"SH11634","IP7 5DJ","DHL"
"SH11635","NR32 4UN","UPS"
"SH11636","DY11 6BS","Evri"
"SH11637","DT2 7QT","Royal Mail"
"SH11638","DE74 2QU","Royal Mail"
"SH11639","CV3 6GP","UPS"
"SH11640","TN25 6HH","DHL"
"SH11641","SL1 0EJ","Royal Mail"
"SH11642","S65 4DW","DHL"
"SH11643","RH2 0LB","UPS"
"SH11644","DN19 7UE","UPS"
"SH11645","SS1 2XN","Royal Mail"
"SH11646","NP12 1SG","Evri"
"SH11647","GU6 8TA","FedEx"
"SH11648","TA6 3BW","FedEx"
"SH11649","KT13 0BW","UPS"
"SH11650","BH3 7NG","Evri"
"SH11651","L17 9RH","UPS"
"SH11652","YO62 5HE","Royal Mail"
"SH11653","ST8 6BJ","Evri"
"SH11654","TQ5 0EB","Royal Mail"
"SH11655","DD11 3JY","Royal Mail"
"SH11656","IP30 0AL","Royal Mail"
"SH11657","SK17 6XX","FedEx"
"SH11658","M5 0RX","Royal Mail"
"SH11659","DE5 3AY","Evri"
"SH11660","DD2 1PU","Evri"
"SH11661","PA34 4YQ","Evri"
"SH11662","KY11 8JR","Royal Mail"
"SH11663","EX4 8BY","DHL"
"SH11664","EH7 9HD","DHL"
"SH11665","DN3 2AF","Evri"
"SH11666","LN4 2UH","Royal Mail"
"SH11667","PA34 4DQ","UPS"
"SH11668","W1B 1NX","Royal Mail"
"SH11669","NP26 5TH","FedEx"
"SH11670","L36 0YD","UPS"
"SH11671","OX15 4TU","FedEx"
"SH11672","DE14 2HQ","UPS"
"SH11673","LN10 6TE","UPS"
"SH11674","G31 5QG","DHL"
"SH11675","RM19 1NU","DHL"
"SH11676","TS25 1XE","Evri"
"SH11677","CA5 7JX","DHL"
"SH11678","BN3 3ER","FedEx"
"SH11679","G71 5QY","FedEx"
"SH11680","TR12 7AS","UPS"
"SH11681","RM9 9RY","FedEx"
"SH11682","DY6 0HS","UPS"
"SH11683","SS15 6RD","UPS"
"SH11684","BA4 5JE","Royal Mail"
"SH11685","BL2 5NS","FedEx"
"SH11686","SA1 3UE","DHL"
"SH11687","NE8 2QR","Evri"
"SH11688","W1U 7HG","Evri"
"SH11689","HR1 3EL","UPS"
"SH11690","NG13 8BE","UPS"
"SH11691","HP27 0RZ","FedEx"
"SH11692","CF33 6DS","Royal Mail"
"SH11693","CB22 7PH","UPS"
"SH11694","RG4 7JN","UPS"
"SH11695","L3 5SL","Royal Mail"
"SH11696","CW2 6DN","FedEx"
"SH11697","AB39 2TN","DHL"
"SH11698","HG4 5DY","FedEx"
"SH11699","CM9 6XG","FedEx"
"SH11700","BB12 8BT","Evri"
"SH11701","CH48 5HR","Royal Mail"
"SH11702","CM15 0EX","FedEx"
"SH11703","DL6 3TQ","Royal Mail"
